iter	RMSE
0	47.42621028
1	44.96852178
2	42.74019604
3	40.47792586
4	38.36414306
5	36.32581966
6	34.3468732
7	32.52707541
8	30.74545623
9	29.09423182
10	27.50464238
11	26.09989463
12	24.7322841
13	23.50514814
14	22.31508524
15	21.32911569
16	20.30244199
17	19.25246342
18	18.30453109
19	17.47811573
20	16.60454803
21	15.81798658
22	15.08926631
23	14.4668365
24	13.84948931
25	13.19620418
26	12.60405722
27	12.04320728
28	11.5085989
29	11.0038266
30	10.53449822
31	10.09911614
32	9.684557738
33	9.281600935
34	8.930802865
35	8.583522179
36	8.260741884
37	7.966922882
38	7.710237942
39	7.468197784
40	7.207357915
41	6.979583486
42	6.754030098
43	6.56246317
44	6.384391004
45	6.224799009
46	6.051208467
47	5.90456871
48	5.748179541
49	5.606142737
50	5.495054358
51	5.366841662
52	5.246169359
53	5.149448442
54	5.046928451
55	4.955348893
56	4.866131852
57	4.790843667
58	4.71665723
59	4.638577826
60	4.569963722
61	4.506128199
62	4.447592877
63	4.393171963
64	4.336290182
65	4.282861037
66	4.233057668
67	4.18559436
68	4.148837417
69	4.098631681
70	4.062929285
71	4.024837062
72	3.99178807
73	3.953824365
74	3.917841892
75	3.897710977
76	3.878087126
77	3.850738038
78	3.815799065
79	3.790720499
80	3.756078338
81	3.728694065
82	3.706365368
83	3.685497938
84	3.657342777
85	3.63947929
86	3.623767156
87	3.605779157
88	3.586002029
89	3.560167992
90	3.544648354
91	3.52277023
92	3.504447727
93	3.4770504
94	3.466059473
95	3.441919479
96	3.414647677
97	3.39908277
98	3.383184558
99	3.367317082
100	3.353688117
101	3.33840025
102	3.329492514
103	3.31835567
104	3.300626484
105	3.288378208
106	3.264376181
107	3.244209474
108	3.236586849
109	3.221307106
110	3.202332622
111	3.185799367
112	3.170206855
113	3.154826127
114	3.144971871
115	3.122912951
116	3.118617169
117	3.111858746
118	3.092909915
119	3.083126633
120	3.080129715
121	3.054051817
122	3.047689062
123	3.041374347
124	3.016189251
125	2.99878635
126	2.988160087
127	2.978988994
128	2.965033539
129	2.955163566
130	2.95340094
131	2.937616525
132	2.924880781
133	2.922854092
134	2.920892994
135	2.905812577
136	2.900234451
137	2.896275182
138	2.877111334
139	2.872538074
140	2.854096674
141	2.852612022
142	2.836533969
143	2.833767008
144	2.820100942
145	2.802401593
146	2.784375624
147	2.782821701
148	2.762404554
149	2.749249823
150	2.731397539
151	2.715966442
152	2.700514665
153	2.694482192
154	2.678966828
155	2.677086736
156	2.661086534
157	2.659279194
158	2.657903617
159	2.642209583
160	2.631899778
161	2.614806934
162	2.604613411
163	2.597295496
164	2.580290699
165	2.561773416
166	2.547223874
167	2.544903309
