iter	Passed	Remaining
0	6	54958
1	12	51479
2	18	50245
3	24	49579
4	30	49333
5	36	49171
6	41	48847
7	47	48796
8	53	48686
9	59	48498
10	65	48402
11	70	48312
12	76	48210
13	82	48242
14	88	48140
15	94	48079
16	99	48017
17	105	47953
18	111	47900
19	117	47943
20	123	47930
21	129	47950
22	135	47951
23	140	47907
24	146	47906
25	152	47903
26	160	48405
27	165	48377
28	171	48332
29	177	48333
30	183	48358
31	189	48309
32	195	48289
33	201	48299
34	207	48247
35	212	48201
36	218	48156
37	224	48129
38	229	48075
39	235	48064
40	241	48035
41	247	48029
42	253	48010
43	259	47967
44	264	47944
45	270	47923
46	276	47926
47	282	47924
48	288	47885
49	293	47874
50	299	47845
51	305	47845
52	311	47843
53	317	47841
54	323	47816
55	328	47792
56	334	47759
57	340	47763
58	346	47730
59	352	47721
60	357	47704
61	363	47686
62	369	47669
63	375	47654
64	381	47655
65	387	47653
66	392	47644
67	398	47642
68	404	47603
69	410	47595
70	416	47602
71	422	47600
72	427	47587
73	433	47577
74	439	47573
75	445	47569
76	451	47570
77	457	47554
78	462	47539
79	468	47525
80	474	47520
81	480	47503
82	486	47484
83	491	47471
84	497	47459
85	503	47457
86	509	47440
87	514	47424
88	520	47419
89	526	47420
90	532	47395
91	538	47393
92	544	47381
93	549	47368
94	555	47363
95	561	47356
96	567	47331
97	572	47314
98	578	47298
99	584	47277
100	589	47262
101	595	47266
102	601	47256
103	607	47245
104	613	47240
105	619	47233
106	625	47235
107	630	47220
108	636	47202
109	642	47220
110	648	47216
111	654	47200
112	660	47189
113	665	47182
114	672	47249
115	678	47239
116	684	47228
117	690	47222
118	695	47212
119	701	47215
120	707	47207
121	713	47210
122	719	47204
123	725	47189
124	731	47183
125	736	47172
126	742	47166
127	748	47148
128	754	47138
129	760	47136
130	765	47115
131	771	47099
132	776	47078
133	782	47058
134	788	47056
135	794	47048
136	800	47039
137	805	47017
138	811	47015
139	817	47001
140	822	46989
141	828	46977
142	834	46970
143	840	46959
144	845	46944
145	851	46939
146	857	46930
147	863	46923
148	869	46925
149	875	46915
150	880	46904
151	886	46895
152	892	46887
153	898	46881
154	903	46871
155	909	46855
156	915	46847
157	920	46827
158	926	46808
159	932	46801
160	938	46789
161	943	46789
162	949	46771
163	955	46769
164	961	46757
165	966	46744
166	972	46725
167	980	46853
